urls,created_at,level1_count,level_2_3_valid,level2_count,level3_count
https://tkpo.st/3935eFp,2021-03-23 08:14:51+05:45,0,0,0,0
https://tkpo.st/2OQIKRu,2021-03-23 08:02:23+05:45,0,1,1,0
https://tkpo.st/3f6mkpO,2021-03-23 07:30:00+05:45,0,0,0,0
https://tkpo.st/2Qy4QZv,2021-03-23 07:17:44+05:45,0,0,0,0
http://tkpo.st/3f0r9kx,2021-03-23 06:33:00+05:45,0,0,0,0
http://tkpo.st/3187KG0,2021-03-23 04:20:00+05:45,0,0,0,0
http://tkpo.st/316zfQl,2021-03-23 02:32:00+05:45,0,0,0,0
http://tkpo.st/3186Hpy,2021-03-22 23:20:00+05:45,0,0,0,0
http://tkpo.st/317ksoy,2021-03-22 21:00:00+05:45,0,0,0,0
http://tkpo.st/3f2J8H5,2021-03-22 18:32:00+05:45,0,1,0,0
https://tkpo.st/2PgD1ny,2021-03-22 16:31:03+05:45,0,1,0,0
https://tkpo.st/3f6MZCW,2021-03-22 16:30:49+05:45,1,1,0,0
https://tkpo.st/3cb3LiC,2021-03-22 15:59:19+05:45,0,0,0,0
https://tkpo.st/3fg1cxJ,2021-03-22 15:46:24+05:45,0,0,0,0
https://tkpo.st/3f3eYDK,2021-03-22 12:11:42+05:45,0,0,0,0
https://tkpo.st/3r46EWF,2021-03-22 11:17:54+05:45,0,0,0,0
https://tkpo.st/3lBZsj8,2021-03-22 10:52:00+05:45,0,1,1,0
https://tkpo.st/3f0r9kx,2021-03-22 10:12:00+05:45,0,0,0,0
https://tkpo.st/3187KG0,2021-03-22 09:45:00+05:45,0,0,0,0
https://tkpo.st/3lDTA9o,2021-03-22 09:10:00+05:45,0,0,0,0
https://tkpo.st/316zfQl,2021-03-22 08:35:00+05:45,0,0,0,0
https://tkpo.st/3186Hpy,2021-03-22 08:08:44+05:45,0,0,0,0
https://tkpo.st/317ksoy,2021-03-22 07:48:04+05:45,0,0,0,0
https://tkpo.st/3f2J8H5,2021-03-22 07:26:42+05:45,0,1,0,0
https://tkpo.st/3165Zt0,2021-03-22 07:04:04+05:45,0,0,0,0
https://tkpo.st/2QiKAuw,2021-03-21 20:38:17+05:45,0,0,0,0
https://tkpo.st/314QGAM,2021-03-21 17:21:31+05:45,1,1,0,0
https://tkpo.st/2PhAWrO,2021-03-21 15:50:28+05:45,0,0,0,0
https://tkpo.st/3r1GpQp,2021-03-21 13:15:00+05:45,0,0,0,0
https://tkpo.st/2NCqyKH,2021-03-21 12:00:00+05:45,0,0,0,0
https://tkpo.st/3c4aieC,2021-03-21 11:30:00+05:45,0,0,0,0
https://tkpo.st/3c2QZma,2021-03-21 10:40:00+05:45,0,1,0,0
https://tkpo.st/3lAPz5n,2021-03-21 10:10:00+05:45,0,0,0,0
https://tkpo.st/3cYs0zM,2021-03-21 09:48:00+05:45,0,0,0,0
https://tkpo.st/3145qQo,2021-03-21 09:30:00+05:45,0,0,0,0
https://tkpo.st/3127hFw,2021-03-21 08:55:00+05:45,0,0,0,0
https://tkpo.st/30ZU0NI,2021-03-21 08:26:56+05:45,0,0,0,0
https://tkpo.st/3sjtL0V,2021-03-21 08:04:30+05:45,0,0,0,0
https://tkpo.st/3lBRmqJ,2021-03-21 07:44:30+05:45,0,1,0,0
https://tkpo.st/3c2RUmC,2021-03-21 07:23:48+05:45,0,0,0,0
https://tkpo.st/3f31tDR,2021-03-20 16:55:18+05:45,1,1,0,0
https://tkpo.st/3eXEtpO,2021-03-20 16:05:02+05:45,0,0,0,0
https://tkpo.st/3cLhgEE,2021-03-20 16:00:43+05:45,0,0,0,0
https://tkpo.st/312dvW2,2021-03-20 13:21:07+05:45,0,1,0,0
https://tkpo.st/3c36U3C,2021-03-20 13:00:00+05:45,0,1,1,0
https://tkpo.st/3c3KoId,2021-03-20 12:15:00+05:45,0,0,0,0
https://tkpo.st/3lwHwXc,2021-03-20 11:35:00+05:45,0,0,0,0
https://tkpo.st/3s6C1AW,2021-03-20 11:10:04+05:45,0,1,0,0
https://tkpo.st/2OIk6T3,2021-03-20 10:50:00+05:45,0,0,0,0
https://tkpo.st/3tHlhk6,2021-03-20 10:36:35+05:45,0,0,0,0
https://tkpo.st/38YLjYj,2021-03-20 10:05:00+05:45,0,0,0,0
https://tkpo.st/2ON7Bp7,2021-03-20 09:35:00+05:45,0,0,0,0
https://tkpo.st/3lz8Cgv,2021-03-20 09:11:00+05:45,0,1,1,0
https://tkpo.st/30ZtDrb,2021-03-20 08:49:26+05:45,0,0,0,0
https://tkpo.st/3qXpPRS,2021-03-20 08:38:58+05:45,0,1,0,0
https://tkpo.st/3c14cvx,2021-03-20 07:56:25+05:45,0,1,1,0
https://tkpo.st/3tBrj5Y,2021-03-20 07:34:31+05:45,0,0,0,0
http://tkpo.st/38QPmWH,2021-03-20 06:00:00+05:45,0,0,0,0
http://tkpo.st/2OJZERy,2021-03-20 04:31:00+05:45,0,0,0,0
http://tkpo.st/3tyARP1,2021-03-20 00:30:00+05:45,0,1,1,0
http://tkpo.st/3lC138L,2021-03-19 22:10:00+05:45,0,0,0,0
https://tkpo.st/3cS5IzD,2021-03-19 21:19:59+05:45,0,1,1,0
